code,name,price,change,change_percent,high,low,volume,amount,total_mv,float_mv,pe,pb,turnover_rate,market
300549,优德精密,16.82,-0.28,-1.64,17.4,16.75,2137100,36390000.0,22.43,4.07,287.23,20.52,2.11,深市A股
603825,ST华扬,8.42,-0.14,-1.64,8.65,8.42,2624100,22410000.0,21.33,12.97,-3.9,8.99,1.04,沪市A股
688363,华熙生物,40.9,-0.68,-1.64,42.06,40.9,217896000,90450000.0,197.01,2.76,67.68,49.9,0.45,沪市A股
603533,掌阅科技,24.6,-0.41,-1.64,25.4,24.6,12119600,303070000.0,107.97,4.67,219.04,27.51,2.76,沪市A股
688352,颀中科技,11.96,-0.2,-1.64,12.33,11.92,790517900,95590000.0,142.21,2.31,53.5,14.59,2.16,沪市A股
301130,西点药业,31.14,-0.52,-1.64,32.18,31.1,2055900,64840000.0,23.82,2.6,59.15,37.99,3.48,深市A股
605277,新亚电子,22.25,-0.37,-1.64,22.8,22.18,4469500,100280000.0,72.09,4.46,47.09,24.88,1.4,沪市A股
000919,金陵药业,7.18,-0.12,-1.64,7.34,7.14,11536700,83660000.0,44.65,1.18,82.82,8.03,1.86,深市A股
300299,富春股份,5.99,-0.1,-1.64,6.19,5.98,9604200,58560000.0,41.35,9.62,-30.21,7.31,1.39,深市A股
603156,养元饮品,29.96,-0.5,-1.64,30.85,29.92,4422400,134170000.0,377.58,4.2,21.93,33.51,0.35,沪市A股
600171,上海贝岭,27.01,-0.45,-1.64,27.49,27.01,7210300,196040000.0,191.48,4.23,81.06,30.21,1.02,沪市A股
601618,中国中冶,3.0,-0.05,-1.64,3.05,3.0,165557500,499490000.0,621.71,0.61,47.04,3.36,0.93,沪市A股
300823,建科智能,16.11,-0.27,-1.65,16.73,16.08,3909000,64040000.0,21.1,2.24,47.09,19.66,4.61,深市A股
603042,华脉科技,20.27,-0.34,-1.65,20.59,18.9,24680900,490290000.0,32.55,3.77,223.42,22.67,15.37,沪市A股
000029,深深房Ａ,19.12,-0.32,-1.65,19.67,19.12,3267200,63280000.0,193.43,5.35,193.51,21.38,0.37,深市A股
600653,申华控股,1.79,-0.03,-1.65,1.85,1.79,20684200,37660000.0,34.84,4.77,90.26,2.0,1.06,沪市A股
600281,华阳新材,5.37,-0.09,-1.65,5.5,5.36,9017700,48940000.0,27.62,21.15,-14.84,6.01,1.75,沪市A股
002909,集泰股份,6.56,-0.11,-1.65,6.77,6.53,7236400,48130000.0,25.58,2.85,132.7,7.34,1.9,深市A股
605050,福然德,14.27,-0.24,-1.65,14.77,14.17,16165300,232920000.0,70.33,1.57,18.85,15.96,3.28,沪市A股
603106,恒银科技,8.92,-0.15,-1.65,9.16,8.92,3996200,36140000.0,46.43,3.55,115.72,9.98,0.77,沪市A股
002790,瑞尔特,7.76,-0.13,-1.65,7.99,7.73,4245900,33400000.0,32.43,1.54,17.91,8.68,1.63,深市A股
300420,五洋自控,3.57,-0.06,-1.65,3.67,3.56,18132600,65610000.0,39.85,1.69,-45.69,4.36,1.62,深市A股
603386,骏亚科技,13.13,-0.22,-1.65,13.48,13.08,3384200,44880000.0,42.85,3.15,-27.8,14.69,1.04,沪市A股
301314,科瑞思,44.79,-0.75,-1.65,46.5,44.68,725400,33020000.0,24.75,2.36,138.26,54.65,3.97,深市A股
603928,兴业股份,14.3,-0.24,-1.65,14.61,14.28,2456200,35480000.0,37.48,2.42,92.49,15.99,0.94,沪市A股
600469,风神股份,6.56,-0.11,-1.65,6.73,6.56,5941200,39480000.0,58.39,1.26,20.78,7.34,0.81,沪市A股
300463,迈克生物,10.72,-0.18,-1.65,11.01,10.7,4891000,53180000.0,64.82,1.02,51.12,13.08,0.99,深市A股
301429,森泰股份,19.73,-0.33,-1.65,20.53,19.65,2491700,50030000.0,23.32,1.73,36.86,24.07,5.66,深市A股
301272,英华特,39.09,-0.66,-1.66,40.35,39.03,688600,27320000.0,22.87,2.27,30.83,47.7,2.2,深市A股
002040,南 京 港,10.07,-0.17,-1.66,10.34,10.05,7262600,73920000.0,49.14,1.44,27.07,11.26,1.49,深市A股
600162,香江控股,1.78,-0.03,-1.66,1.86,1.78,31623100,57360000.0,58.18,1.01,94.14,1.99,0.97,沪市A股
688711,宏微科技,26.02,-0.44,-1.66,26.76,26.02,308363500,81220000.0,55.45,5.1,318.06,31.75,1.45,沪市A股
600153,建发股份,8.88,-0.15,-1.66,9.14,8.85,15515000,138880000.0,257.48,0.47,8.74,9.93,0.54,沪市A股
002311,海大集团,49.81,-0.84,-1.66,51.13,49.81,5537900,278360000.0,828.71,3.28,18.4,55.72,0.33,深市A股
002330,得利斯,4.73,-0.08,-1.66,4.89,4.72,10252700,49380000.0,30.05,1.31,-89.24,5.29,1.61,深市A股
301166,优宁维,30.15,-0.51,-1.66,31.4,30.13,1750200,53920000.0,26.13,1.29,257.46,36.79,3.07,深市A股
688396,华润微,44.54,-0.75,-1.66,46.16,44.5,1089695700,492930000.0,591.59,2.57,89.45,54.35,0.82,沪市A股
600460,士兰微,25.52,-0.43,-1.66,26.19,25.5,20070700,517850000.0,424.67,3.56,193.15,28.55,1.21,沪市A股
300030,阳普医疗,7.67,-0.13,-1.67,7.98,7.64,8225800,64260000.0,23.71,3.76,-20.11,9.36,3.02,深市A股
301283,聚胶股份,44.28,-0.75,-1.67,45.5,44.17,742400,33270000.0,35.61,2.18,45.56,54.04,1.17,深市A股
301012,扬电科技,29.41,-0.5,-1.67,30.81,29.16,8860600,265660000.0,57.93,4.97,82.35,35.89,4.5,深市A股
002224,三 力 士,4.71,-0.08,-1.67,4.84,4.68,22685100,107850000.0,42.49,1.31,128.34,5.27,2.81,深市A股
002599,盛通股份,7.08,-0.12,-1.67,7.25,7.07,5847600,41860000.0,37.71,3.05,-19.62,7.92,1.47,深市A股
003030,祖名股份,20.64,-0.35,-1.67,21.27,20.57,1985200,41630000.0,25.75,2.53,-102.46,23.09,2.5,深市A股
002162,悦心健康,4.7,-0.08,-1.67,4.81,4.68,20771700,98440000.0,43.23,5.25,642.56,5.26,2.26,深市A股
600269,赣粤高速,4.7,-0.08,-1.67,4.79,4.7,21643500,102580000.0,109.76,0.56,8.58,5.26,0.93,沪市A股
000020,深华发Ａ,15.93,-0.27,-1.67,16.33,15.83,12572800,202060000.0,45.11,10.62,122.78,17.82,6.94,深市A股
688165,埃夫特-U,16.53,-0.28,-1.67,17.09,16.52,415835800,69910000.0,86.25,7.09,-17.28,20.17,0.8,沪市A股
301413,安培龙,115.36,-1.96,-1.67,120.85,115.12,3157700,372880000.0,113.52,9.07,137.37,140.78,5.37,深市A股
600793,宜宾纸业,18.21,-0.31,-1.67,18.75,18.15,1721200,31660000.0,32.21,13.54,-25.08,20.37,0.97,沪市A股
688080,映翰通,50.69,-0.86,-1.67,52.2,50.61,82576200,42360000.0,37.34,3.19,24.84,61.86,1.12,沪市A股
601366,利群股份,4.12,-0.07,-1.67,4.24,4.11,9255200,38670000.0,38.44,0.95,141.13,4.61,0.99,沪市A股
300298,三诺生物,15.87,-0.27,-1.67,16.24,15.86,3947300,63290000.0,88.91,2.78,27.25,19.37,0.87,深市A股
603121,华培动力,16.42,-0.28,-1.68,16.83,16.37,5408900,89840000.0,55.59,4.67,84.72,18.37,1.6,沪市A股
300605,恒锋信息,14.03,-0.24,-1.68,14.48,13.96,3471600,49400000.0,23.17,4.78,-26.69,17.12,2.91,深市A股
002541,鸿路钢构,20.53,-0.35,-1.68,21.1,20.3,4152000,85500000.0,141.66,1.48,18.34,22.97,0.84,深市A股
605020,永和股份,24.56,-0.42,-1.68,25.05,24.46,5941400,146750000.0,125.46,2.22,49.92,27.48,1.18,沪市A股
600178,东安动力,11.1,-0.19,-1.68,11.36,11.1,3976600,44640000.0,51.78,2.04,903.1,12.42,0.85,沪市A股
688115,思林杰,39.68,-0.68,-1.68,41.48,39.62,73964900,29830000.0,26.45,2.09,-272.67,48.43,1.11,沪市A股
603332,苏州龙杰,12.87,-0.22,-1.68,13.39,12.87,4889300,64190000.0,27.84,2.18,48.2,14.4,2.26,沪市A股
300140,节能环境,7.01,-0.12,-1.68,7.2,6.92,36283000,254620000.0,217.24,1.54,35.88,8.56,3.56,深市A股
002777,久远银海,16.42,-0.28,-1.68,16.92,16.4,5510700,91770000.0,67.03,3.97,87.2,18.37,1.36,深市A股
002765,蓝黛科技,9.94,-0.17,-1.68,10.19,9.92,11025700,110820000.0,64.82,2.45,35.08,11.12,1.85,深市A股
603179,新泉股份,65.1,-1.11,-1.68,67.17,65.0,9554300,630750000.0,332.1,4.48,40.75,72.83,1.87,沪市A股
603955,大千生态,24.58,-0.42,-1.68,25.6,24.51,1316700,33000000.0,33.36,2.18,114.5,27.5,0.97,沪市A股
000700,模塑科技,11.68,-0.2,-1.68,12.17,11.67,25035300,296830000.0,107.22,2.88,17.12,13.07,2.73,深市A股
301198,喜悦智行,14.07,-0.24,-1.68,14.5,14.0,3079900,43710000.0,23.78,2.6,-200.88,17.17,1.98,深市A股
000031,大悦城,2.91,-0.05,-1.69,3.01,2.9,17450300,51570000.0,124.73,1.23,-4.19,3.26,0.41,深市A股
002369,卓翼科技,6.99,-0.12,-1.69,7.16,6.96,8178300,57770000.0,39.63,12.79,-18.19,7.82,1.44,深市A股
600183,生益科技,54.17,-0.93,-1.69,55.6,53.41,32352400,1760450000.0,1315.85,7.87,39.47,60.61,1.35,沪市A股
000709,河钢股份,2.33,-0.04,-1.69,2.41,2.33,100116800,237130000.0,240.85,0.47,34.05,2.61,0.97,深市A股
300025,华星创业,5.22,-0.09,-1.69,5.37,5.21,10273800,54350000.0,26.56,4.93,-33.84,6.37,2.03,深市A股
600084,中信尼雅,6.97,-0.12,-1.69,7.22,6.95,7604100,53790000.0,78.32,6.05,645.97,7.8,0.68,沪市A股
300719,安达维尔,15.74,-0.27,-1.69,16.23,15.71,5291000,84590000.0,40.02,3.86,289.4,19.21,2.95,深市A股
603967,中创物流,13.38,-0.23,-1.69,13.67,13.37,5101700,68850000.0,46.38,1.94,17.78,14.97,1.47,沪市A股
301320,豪江智能,16.76,-0.29,-1.7,17.24,16.71,2424300,41070000.0,30.5,2.88,65.07,20.46,3.55,深市A股
688283,坤恒顺维,38.7,-0.67,-1.7,40.16,38.7,90107700,35500000.0,47.14,4.78,100.79,47.24,0.74,沪市A股
300412,迦南科技,5.2,-0.09,-1.7,5.39,5.17,11015300,58250000.0,25.88,2.51,71.37,6.35,2.35,深市A股
600180,瑞茂通,3.47,-0.06,-1.7,3.61,3.47,11734900,41520000.0,37.71,0.48,56.62,3.88,1.08,沪市A股
688398,赛特新材,23.7,-0.41,-1.7,24.27,23.7,117158900,28030000.0,39.77,3.47,159.39,28.93,0.7,沪市A股
000605,渤海股份,6.93,-0.12,-1.7,7.13,6.9,5221600,36660000.0,24.44,1.15,151.88,7.76,1.48,深市A股
002645,华宏科技,16.75,-0.29,-1.7,17.12,16.57,19248500,323490000.0,105.12,2.63,-29.57,18.74,3.44,深市A股
688401,路维光电,48.04,-0.83,-1.7,48.83,47.31,259901100,125240000.0,92.88,5.56,37.05,58.64,1.34,沪市A股
603799,华友钴业,58.73,-1.02,-1.71,60.04,58.22,44504300,2627530000.0,1113.95,2.34,26.81,65.73,2.36,沪市A股
002864,盘龙药业,33.39,-0.58,-1.71,34.43,33.35,3512200,118910000.0,35.49,2.11,29.51,37.37,4.73,深市A股
002133,广宇集团,3.45,-0.06,-1.71,3.59,3.45,12994200,45750000.0,26.71,0.91,-2.65,3.86,1.69,深市A股
301335,天元宠物,24.74,-0.43,-1.71,25.45,24.74,957500,23990000.0,31.4,1.64,68.31,30.2,1.89,深市A股
600189,泉阳泉,7.49,-0.13,-1.71,8.05,7.47,17895300,137560000.0,53.57,4.37,355.26,8.38,2.5,沪市A股
000529,广弘控股,5.75,-0.1,-1.71,5.92,5.71,8984200,52250000.0,33.57,1.06,27.57,6.44,1.58,深市A股
000567,海德股份,5.17,-0.09,-1.71,5.32,5.16,8669800,45380000.0,101.05,1.87,30.61,5.79,0.44,深市A股
